X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27 ,X28,X29 ,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51
0,0.381605011,0.432652532,0.432652532,0.995781371,0.806556947,0.303292978,0.778481405,0.000607439,0.000135149,0.451367605,0.000206021,0,0.168345202,0.187293183,0.295819481,0.001981336,0.065874114,0.136928523,0.022091595,0.831638396,0.646440143,0.00093549,0.328965016,0.630522185,0.007672877,0.135048523,0.864951477,0.004967503,0.377229731,0.005365848,0.071416939,0.396343628,0.017991004,2130000000,0.001994624,0.37076276,0.02948349,0.001424922,0.009901558,0.671198364,0.110933234,0.432731822,0,0.749251468,0.001544149,0.622860493,0.43265355,0.026770914,0.565059987,1,0.027326825
0,0.469029391,0.445646377,0.445646377,0.995229402,0.805612495,0.303517517,0.777486876,0.001368327,0.000956061,0.447932027,0.000355036,0,0.172854073,0.18663137,0.312690104,0.001527595,0.068642619,0.144385027,0.021613979,0.847888873,0.688860758,0.000446708,0.369127454,0.630380063,0.00444104,0.096592799,0.903407201,0.00509114,0.374673159,0.005365848,0.068599671,0.394200072,0.008995502,0.003863938,0.002784836,0.357262387,0.053314476,0.001656762,0.016150998,0.671507778,0.121357604,0.527185581,0,0.741729515,0.005070354,0.623211009,0.445644548,0.026738267,0.564892917,1,0.03940032
0,0.474329461,0.449761455,0.449761455,0.9954962,0.806369853,0.303259624,0.7783913,0.001167466,0.000388129,0.459413033,0.000286029,0,0.154228646,0.184267751,0.298189149,0.002132583,0.060662812,0.136175341,0.022091595,0.843454313,0.676159876,0.000373567,0.35454156,0.629978014,0.081796296,0.267617982,0.732382018,0.004764973,0.433251768,0.005365848,0.061084241,0.400546339,0.005997001,0.00322436,0.001442357,0.375251577,0.067867253,0.001687826,0.004688205,0.670563077,0.110933234,0.527065047,0,0.781044422,0.005780023,0.618492733,0.449763017,0.026734371,0.564872256,1,0.011860817
0,0.379517105,0.502623272,0.502623272,0.997002705,0.806140315,0.301742722,0.778145545,0.000507875,7780000000,0.445652265,0.000634063,0,0.148371329,0.185024109,0.31120464,0.001935962,0.077599544,0.144460345,0.021888163,0.847917024,0.688616886,0.000429565,0.359692262,0.63036705,0.007962867,0.137769447,0.862230553,0.005116001,0.377437746,0.005365848,0.077564447,0.395605441,0.019490255,0.004238804,0.000784337,0.386795866,0.006239942,0.001662005,0.028973485,0.67143066,0.127489342,0.488074727,0,0.699595664,0.000773514,0.623724398,0.502622016,0.026729644,0.564846961,1,0.026715714
1,0.412923604,0.532906211,0.532906211,0.994728504,0.804617527,0.303672929,0.776653611,0.003269738,0.002546271,0.434323914,0.000245025,0,0.147697105,0.192209511,0.313079154,0.001013355,0.075156746,0.151690894,0.021207904,0.847978114,0.689333181,0.000366829,0.363082598,0.630540335,0.005313745,0.108655561,0.891344439,0.005160439,0.375031035,0.005365848,0.075146156,0.396121234,0.010494753,0.01563422,0.001239663,0.374392257,0.014914226,0.001938263,0.053477014,0.671490161,0.123317461,0.493413326,0,0.70462502,0.000196676,0.623791355,0.532907123,0.026769312,0.565052036,1,0.03472942
0,0.446704856,0.536264576,0.536264576,0.993104026,0.802458595,0.303894325,0.774145114,0.004949242,0.005823978,0.447873313,0.000438044,0,0.166533227,0.188522265,0.312194949,0.000786485,0.073772494,0.150711757,0.02131576,0.848018888,0.689181382,0.000390536,0.366174882,0.63042972,0.004061682,0.090878858,0.909121142,0.005070033,0.374490866,0.005365848,0.073794519,0.394080836,0.005997001,0.004911684,0.000831338,0.375658624,0.026708708,0.001905523,0.03217587,0.67072628,0.118749822,0.514013712,0,0.734826381,0.001358163,0.623859873,0.536260346,0.026791157,0.565158396,1,0.042037028
1,0.275014722,0.536812292,0.536812292,0.997903511,0.808112154,0.303521384,0.780226111,0.000154953,0,0.460320576,0.000366037,0,0.136445999,0.121206391,0.314635354,0.015638943,0.01815813,0.098516231,0.021190852,0.847085243,0.685682746,0.000247423,0.345478931,0.630526979,0.045297696,0.247362215,0.752637785,0.005888022,0.396166931,0.007193258,0.026755907,0.438045183,0.073463268,0.01984826,0.024050057,0.307240904,0.00249667,0.000971188,0.026066356,0.671559525,0.110933234,0.539795222,0,0.603821761,0.006095867,0.623419072,0.536813228,0.026765339,0.565032207,1,0.013169627
1,0.464585899,0.540776027,0.540776027,0.997789235,0.802967406,0.294456708,0.780105129,0.000332917,0.000315631,0.461073786,0.000240024,0,0.120601745,0.190224071,0.316792813,0.003720677,0.074912466,0.079460722,0.021378293,0.736430138,0.534823648,0.00016702,0.370068179,0.630546842,0.090126665,0.331892251,0.668107749,0.004675902,0.279725465,0.005365848,0.074885599,0.38400746,0.025487256,0.009888266,0.007764053,0.361615522,0.042332313,0.00190258,0.200450703,0.67110096,0.110933234,0.554803074,1,0.411809225,0.011097909,0.625487316,0.540774613,0.026778652,0.565098057,1,0.008752801
0,0.416938808,0.55669583,0.556609349,0.998110918,0.807989769,0.30285792,0.780199304,0.000265154,0.000299162,0.45530812,0.000232023,0,0.150731111,0.142951688,0.31003749,0.011751894,0.048693103,0.110717783,0.018832656,0.847805149,0.68885066,0.000303071,0.369546589,0.630454035,0.028446366,0.224778547,0.775221453,0.005071062,0.398262739,0.005365848,0.048854365,0.398855609,0.043478261,0.005511129,0.02458176,0.322346849,0.080160003,0.001686823,0.031761077,0.671572763,0.174454148,0.523909617,0,0.694943299,0.10614664,0.62409496,0.556696465,0.026752626,0.564967719,1,0.014901803
0,0.429198565,0.556976895,0.556976895,0.997956432,0.808078824,0.303346636,0.780242252,0.000425542,0,0.453378962,0.000349035,0,0.149045552,0.193911317,0.313043786,0.003478682,0.07890237,0.15357385,0.022082414,0.848036734,0.689394322,0.000375514,0.359450095,0.630607457,0.004177496,0.092662575,0.907337425,0.005033798,0.369725532,0.005365848,0.078907942,0.395762188,0.04197901,0.005076489,0.003028656,0.381786934,0.011115866,0.001635466,0.024070244,0.671597041,0.110979926,0.491464888,0,0.712156547,0.000206198,0.623883056,0.55697345,0.026789691,0.565151398,1,0.041182438
